"","queen_id","queen_name","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",10011690,"Queen Mary II",5.17502109851715e-06,5.71516582901614e-06,5.66159590331495e-06,6.84553205487712e-06,7.21493017267345e-06,7.33284556087561e-06,6.19288729084103e-06,6.19709679127728e-06,7.23737183426306e-06,7.62315001410303e-06,8.1061423515478e-06
"2",10013287,"Queen Mary of Guise",4.37561739650099e-06,3.98755927715642e-06,3.91883190234613e-06,3.42943878365466e-06,3.66572982728862e-06,3.83772513477483e-06,3.97822338158214e-06,4.04424056865043e-06,4.03805248926923e-06,4.30820615776689e-06,4.52151800539606e-06
"3",10005814,"James Hepburn",3.64826285247457e-06,3.29660744876502e-06,3.45015582051112e-06,3.65575979370604e-06,3.59899756578421e-06,3.41290758216816e-06,3.42430809930278e-06,3.71382855203221e-06,3.29693725993619e-06,3.23480376597911e-06,3.36444235851769e-06
"4",10013270,"Anne of Cleves",4.8597207474242e-06,4.78458693541501e-06,4.78260226209082e-06,4.10145040565693e-06,3.61360578673256e-06,3.53868365562496e-06,2.86906143092725e-06,3.0663984581891e-06,3.66778967626153e-06,3.80136964554887e-06,3.86754975839757e-06
"5",10011666,"Queen Anne",1.17353049074186e-05,1.19879888845447e-05,1.43180382651036e-05,1.25541396002476e-05,1.38932811367814e-05,1.4051894670123e-05,1.38166679928871e-05,1.41583696483923e-05,1.33942038047948e-05,1.36682572392626e-05,1.27151514568894e-05
"6",10013276,"Queen Catherine of Braganza",1.21437224411804e-05,1.2340425955182e-05,1.05698693257675e-05,1.066766967197e-05,1.0846229758363e-05,8.59450433803046e-06,9.27028028662729e-06,9.45627683068201e-06,9.63746212240282e-06,1.0392052880785e-05,1.06148603672727e-05
"7",10013271,"Queen Anne of Denmark",2.71354926925423e-06,2.73845524348887e-06,2.41073537821775e-06,2.30194671663789e-06,2.27495470999635e-06,2.39922221033891e-06,2.71341182901701e-06,2.74023116312568e-06,2.90632866174698e-06,2.75583853349282e-06,3.41513431726805e-06
"8",10012122,"Queen Mary I",4.93513744403814e-06,4.90116997350147e-06,4.33480662601076e-06,3.89519797771109e-06,3.84639053168127e-06,3.37510363047164e-06,3.60437253570301e-06,3.91499439788562e-06,4.07095791653379e-06,4.14189981686273e-06,4.03733259276169e-06
"9",10007966,"Queen Henrietta Maria",4.78285298501005e-06,4.50569790017564e-06,4.37512911239855e-06,3.64228549251629e-06,3.51484021121109e-06,3.10659566768142e-06,3.23418115290755e-06,3.28802710126576e-06,3.41367906100448e-06,3.31813108184554e-06,3.25413063335494e-06
"10",10005504,"Queen Katherine of Aragon",7.24446988614968e-06,6.17850046536986e-06,5.70568179014909e-06,5.17196365346502e-06,4.97110760360315e-06,4.23327056567782e-06,3.85464963033437e-06,3.71757106379027e-06,3.27426380452724e-06,5.44744561454274e-06,5.16788364862256e-06
"11",10012117,"Queen Elizabeth I",2.6484068381477e-06,2.63917731872575e-06,3.58680197751318e-06,3.19551293087358e-06,3.43585487976536e-06,3.09679659180675e-06,3.02439447000361e-06,2.66977333716073e-06,2.47489579372374e-06,2.32501361492984e-06,2.39998506373415e-06
"12",10009351,"Queen Katherine Parr",5.15891517175476e-06,4.91776025972654e-06,4.97941140384116e-06,4.7580589883285e-06,4.82918865755775e-06,4.51857821845909e-06,4.24800514839255e-06,4.13153783663651e-06,4.2013220455267e-06,4.58305617127445e-06,4.58583746176052e-06
"13",10013288,"Queen Mary of Scots",3.23117302880891e-06,3.3603489346803e-06,2.98259037268964e-06,3.14954606058474e-06,2.6157195850213e-06,2.3313171065134e-06,2.50458505623107e-06,2.44099841717668e-06,2.17959861707044e-06,2.09672872654618e-06,1.92789976239659e-06
"14",10006239,"Queen Catherine Howard",4.62729830421506e-06,4.54925599500522e-06,4.01104487813651e-06,5.82154338781509e-06,5.51657023829095e-06,5.37258198066056e-06,4.89213368196347e-06,4.53575358509747e-06,4.70653738108474e-06,4.48969969053415e-06,4.45245922101372e-06
"15",10001243,"Queen Anne Boleyn",7.24164592673867e-06,6.2036643994662e-06,5.78022161758926e-06,5.34700397903124e-06,5.25439943797962e-06,4.49871047709424e-06,4.33687491351879e-06,4.33160499196347e-06,3.95429591373141e-06,5.70254510502557e-06,5.33572142685181e-06
"16",10013275,"Queen Caroline of Ansbach",2.46745346668189e-05,2.54386664620269e-05,2.63131223854506e-05,2.5125954116535e-05,2.57567195109441e-05,2.88675476354893e-05,2.99609534056081e-05,3.0707020344903e-05,3.48775312570749e-05,4.96249621877684e-05,4.19154048612939e-05
"17",10010924,"Queen Jane Seymour",6.25866772247798e-06,5.85666244947676e-06,5.39632137091958e-06,5.35044871292568e-06,4.60596828035139e-06,4.44680318002775e-06,4.40533749371459e-06,3.98298030574579e-06,5.5320845511975e-06,5.16653057464994e-06,5.22180640879373e-06
"18",10013284,"Queen Madeleine of Valois",6.27786815380278e-06,5.87210924709669e-06,5.47870561891675e-06,5.43217820336643e-06,4.79925524642282e-06,4.63365911772812e-06,4.65639256861799e-06,4.39586736556326e-06,5.97559996981613e-06,5.66724701473341e-06,3.85230411189845e-06
"19",10013289,"Queen Mary of Modena",1.39084676555334e-05,1.41108134723937e-05,1.38823438519616e-05,1.42214322899321e-05,1.34525024397839e-05,1.3825539853886e-05,1.28442385112574e-05,1.31452142469304e-05,1.38841956922242e-05,1.8552657848015e-05,1.83564507655579e-05
"20",10012121,"Queen Mary of England",9.30583597234262e-06,8.05633994356003e-06,6.84099781182938e-06,7.03353294292733e-06,6.07430196601612e-06,5.68322673382794e-06,5.30315846592725e-06,5.09013113031893e-06,4.20402659789925e-06,4.04141703314028e-06,4.0607530007405e-06
"21",10009754,"Queen Elizabeth of York",2.3701683240298e-05,2.55705392636656e-05,2.2396518542324e-05,2.22179755294381e-05,1.86589063524464e-05,1.84864595825349e-05,1.65857019579489e-05,1.526808893282e-05,1.39734606211237e-05,1.2235477895185e-05,1.34794065199977e-05
"22",10011673,"Queen Elizabeth Stuart",3.35032569741268e-06,2.97686374402598e-06,3.68841264448646e-06,4.25449831412362e-06,4.07009688367831e-06,4.16732086980299e-06,4.8909709472839e-06,4.80614904175647e-06,4.55203348946519e-06,4.39382618272527e-06,3.65476634972861e-06
"23",10012120,"Queen Margaret of England",4.78789804277303e-06,4.44380635070676e-06,4.55389074367881e-06,4.2053503300063e-06,5.81646309722675e-06,5.51353021744285e-06,5.51312732064139e-06,5.01692881206611e-06,4.78016993009971e-06,4.83662371848007e-06,4.48697105059614e-06
"24",10003365,"Marie de Medici",3.61698795133307e-06,3.68284784156033e-06,3.33909263364467e-06,3.12983369216418e-06,2.92635664131009e-06,2.50922287990489e-06,2.59185340445802e-06,2.84850713064209e-06,2.67135385820737e-06,2.51078124546424e-06,2.45134458357259e-06
